Time of the generation of the data point., Instantaneous throughput (b/s)., 
11-19-2022-23-38-36.402,5.021607876932573e+07, 
11-19-2022-23-38-37.403,6.784609622389595e+07, 
11-19-2022-23-38-38.404,6.403762491390204e+07, 
11-19-2022-23-38-39.404,6.622049503496545e+07, 
11-19-2022-23-38-40.414,6.552298050042785e+07, 
11-19-2022-23-38-41.431,6.874434682753792e+07, 
11-19-2022-23-38-42.438,6.61268923387687e+07, 
11-19-2022-23-38-43.443,7.004401997890247e+07, 
11-19-2022-23-38-44.450,6.4303440370392784e+07, 
11-19-2022-23-38-45.453,6.894161616755158e+07, 
11-19-2022-23-38-46.453,7.021891544369617e+07, 
11-19-2022-23-38-47.453,6.401015137075897e+07, 
